ID,"Nottingham, UK","Derby, UK","Northampton, UK","Reading, UK","Birmingham, UK","Sheffield, UK","Lincoln, UK","Exeter, UK","Oxford, UK","Brighton, UK","Noewich, UK","Liverpool, UK","Edinburgh, UK","Manchester, UK","Glasgow, UK","Bristol, UK","London, UK","Cambridge, UK"
1.2.1,17.29,82.71,,,,,,,,,,,,,,,,
1.2.3,54.55,45.45,,,,,,,,,,,,,,,,
1.2.5,35.45,64.55,,,,,,,,,,,,,,,,
1.2.10,70.73,29.27,,,,,,,,,,,,,,,,
1.2.15,77.50,22.50,,,,,,,,,,,,,,,,
1.5.1,29.02,24.19,19.35,10.59,16.85,,,,,,,,,,,,,
1.5.3,30.30,25.25,20.20,6.65,17.59,,,,,,,,,,,,,
1.5.5,44.93,10.05,11.00,7.93,26.09,,,,,,,,,,,,,
1.5.10,28.08,23.40,18.72,13.48,16.31,,,,,,,,,,,,,
1.5.15,31.44,26.20,20.96,11.47,9.93,,,,,,,,,,,,,
1.10.1,18.55,6.05,12.37,6.77,10.77,19.81,5.43,9.68,4.10,6.48,,,,,,,,
1.10.3,16.60,8.30,11.07,6.06,9.64,17.72,7.47,8.92,8.07,6.16,,,,,,,,
1.10.5,6.75,16.63,13.30,4.99,6.09,21.31,3.62,6.09,9.71,11.51,,,,,,,,
1.10.10,21.53,5.54,14.35,7.86,12.50,6.06,4.93,11.57,10.47,5.20,,,,,,,,
1.10.15,18.01,15.00,12.00,6.57,10.45,4.60,4.54,9.67,8.76,10.39,,,,,,,,
1.15.1,12.25,4.16,8.17,1.91,7.11,13.08,5.51,6.58,2.72,7.07,5.25,6.49,4.59,11.81,3.29,,,
1.15.3,14.35,11.96,9.94,5.24,8.33,3.06,2.87,2.68,2.95,3.54,6.15,7.60,5.38,13.84,2.12,,,
1.15.5,11.26,9.38,7.51,4.11,6.54,12.02,5.07,6.05,2.44,2.29,4.83,5.96,4.22,10.86,7.45,,,
1.15.10,11.64,9.70,6.35,4.25,6.76,4.68,5.24,6.26,5.69,6.72,3.25,6.16,4.37,11.23,7.70,,,
