ID,"Nottingham, UK","Derby, UK","Northampton, UK","Reading, UK","Birmingham, UK","Sheffield, UK","Lincoln, UK","Exeter, UK","Oxford, UK","Brighton, UK","Noewich, UK","Liverpool, UK","Edinburgh, UK","Manchester, UK","Glasgow, UK","Bristol, UK","London, UK","Cambridge, UK"
1.2.1,57.63,42.37,,,,,,,,,,,,,,,,
1.2.3,80.77,19.23,,,,,,,,,,,,,,,,
1.2.5,54.55,45.45,,,,,,,,,,,,,,,,
1.2.10,80.49,19.51,,,,,,,,,,,,,,,,
1.2.15,63.50,36.50,,,,,,,,,,,,,,,,
1.5.1,47.82,35.16,3.83,4.22,8.97,,,,,,,,,,,,,
1.5.3,59.13,14.08,11.06,6.08,9.65,,,,,,,,,,,,,
1.5.5,29.02,24.19,19.35,10.59,16.85,,,,,,,,,,,,,
1.5.10,57.58,13.95,11.80,6.42,10.25,,,,,,,,,,,,,
1.5.15,37.11,21.33,17.06,9.51,14.99,,,,,,,,,,,,,
1.10.1,28.24,20.76,2.26,2.49,5.29,28.24,1.66,3.82,4.15,3.08,,,,,,,,
1.10.3,38.64,9.20,7.23,3.97,6.31,11.79,5.42,5.85,5.30,6.29,,,,,,,,
1.10.5,15.23,12.70,10.16,5.56,8.85,16.27,6.86,8.19,7.41,8.79,,,,,,,,
1.10.10,38.76,9.39,7.94,4.32,6.90,8.62,5.09,6.38,5.76,6.83,,,,,,,,
1.10.15,21.84,12.55,10.04,5.60,8.82,11.55,6.82,8.20,7.47,7.10,,,,,,,,
1.15.1,14.00,10.29,1.12,1.24,2.63,14.00,0.82,1.89,2.06,1.53,1.85,11.81,12.60,12.16,12.00,,,
1.15.3,29.40,7.00,5.50,3.02,4.80,8.97,4.12,4.45,4.03,4.78,4.78,4.38,3.15,6.05,5.56,,,
1.15.5,10.50,8.75,7.00,3.83,6.10,11.21,4.73,5.64,5.11,6.06,4.50,5.56,3.94,10.13,6.95,,,
1.15.10,29.79,7.22,6.10,3.32,5.30,6.63,3.91,4.90,4.43,5.25,3.76,4.83,3.28,6.65,4.62,,,
1.15.15,15.26,8.77,7.02,3.91,6.17,8.07,4.77,5.73,5.22,4.96,4.62,5.65,4.02,10.17,5.65,,,
2.15.1,5.39,,3.10,4.00,,4.89,5.28,7.77,7.55,8.40,,7.18,5.16,6.35,5.39,21.13,5.66,2.75
2.15.3,3.65,,2.08,4.15,,4.13,3.58,3.22,6.50,6.48,,4.88,4.15,5.15,4.57,37.78,7.81,1.87
2.15.5,5.72,,3.36,4.06,,5.24,4.21,5.27,7.72,6.44,,4.54,4.48,6.77,5.72,29.70,3.86,2.91
2.15.10,3.25,,2.56,4.55,,4.97,3.19,3.96,4.33,6.85,,3.43,5.13,6.17,5.42,38.20,5.78,2.21
2.15.15,4.16,,3.34,4.23,,3.84,3.07,3.73,5.40,6.62,,4.37,5.01,5.94,4.16,35.93,8.09,2.11
3.10.1,1.09,,,11.75,11.04,3.33,11.06,12.08,,,,22.82,6.84,,7.82,,12.17,
3.10.3,10.00,,,10.00,10.00,10.00,10.00,10.00,,,,10.00,10.00,,10.00,,10.00,
3.10.5,3.05,,,9.19,9.63,5.49,9.19,8.99,,,,32.37,6.53,,6.89,,8.67,
3.10.10,4.93,,,9.32,9.70,8.06,8.15,9.13,,,,25.23,7.49,,9.53,,8.45,
3.10.15,4.27,,,10.00,11.69,7.79,10.00,9.81,,,,18.93,8.52,,10.84,,8.15,
3.15.1,0.68,7.67,6.92,7.37,6.92,2.09,6.93,7.57,7.37,7.68,,14.30,4.29,,4.90,7.70,7.63,
3.15.3,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,,6.67,6.67,,6.67,6.67,6.67,
3.15.5,2.12,5.41,6.70,6.39,6.70,3.82,6.39,6.25,6.39,5.19,,22.51,4.54,,4.79,6.75,6.03,
3.15.10,3.45,5.61,6.78,6.51,6.78,5.63,5.69,6.38,6.51,4.01,,17.62,5.23,,6.65,7.26,5.90,
3.15.15,2.88,5.12,7.87,6.73,7.87,5.25,6.73,6.61,6.73,5.42,,12.74,5.73,,7.30,7.56,5.49,
4.15.1,2.94,2.29,2.51,2.05,2.38,2.76,2.23,2.03,3.91,59.44,,3.67,2.67,3.42,2.83,4.89,,
4.15.3,4.66,4.90,3.35,3.10,3.79,6.88,2.46,3.34,3.88,40.97,,4.17,5.08,3.83,3.83,5.78,,
4.15.5,2.67,2.77,3.03,2.49,2.87,3.36,2.70,2.47,4.73,55.47,,2.67,3.25,4.16,3.44,3.93,,
4.15.10,3.16,3.27,3.56,2.96,3.39,3.99,3.19,2.93,8.92,43.98,,3.16,3.86,4.93,4.07,4.63,,
4.15.15,2.98,3.08,3.34,2.80,3.19,3.77,3.01,2.77,12.60,42.98,,2.98,3.65,4.66,3.85,4.35,,
4.10.1,,2.62,2.88,,,3.17,2.56,2.33,4.49,68.21,,4.21,,3.92,,5.61,,
4.10.3,,6.16,4.21,,,8.64,3.10,4.19,4.88,51.50,,5.24,,4.81,,7.26,,
4.10.5,,3.25,3.55,,,3.94,3.17,2.89,5.54,65.05,,3.13,,4.87,,4.61,,
4.10.10,,3.96,4.31,,,4.83,3.87,3.55,10.81,53.27,,3.83,,5.97,,5.60,,
4.10.15,,3.69,4.00,,,4.51,3.60,3.31,15.08,51.45,,3.57,,5.58,,5.21,,
5.10.1,,10.22,10.18,,,,,11.20,10.83,11.20,3.29,,10.68,10.58,10.62,11.20,,
5.10.3,,5.82,3.69,,,,,32.00,2.13,6.79,2.42,,4.92,3.27,6.96,32.00,,
5.10.5,,6.70,4.98,,,,,32.52,10.24,4.67,5.12,,3.46,10.41,10.97,10.92,,
5.10.10,,7.03,5.36,,,,,25.23,16.68,5.05,5.50,,3.71,11.00,9.22,11.21,,
