ID,"Nottingham, UK","Derby, UK","Northampton, UK","Reading, UK","Birmingham, UK","Sheffield, UK","Lincoln, UK","Exeter, UK","Oxford, UK","Brighton, UK","Noewich, UK","Liverpool, UK","Edinburgh, UK","Manchester, UK","Glasgow, UK","Bristol, UK","London, UK","Cambridge, UK"
1.2.1,40.15,59.85,,,,,,,,,,,,,,,,
1.2.3,59.78,40.22,,,,,,,,,,,,,,,,
1.2.5,50.05,49.95,,,,,,,,,,,,,,,,
1.2.10,68.82,31.18,,,,,,,,,,,,,,,,
1.2.15,62.19,37.81,,,,,,,,,,,,,,,,
1.5.1,21.66,32.29,12.88,14.37,18.80,,,,,,,,,,,,,
1.5.3,36.20,24.35,11.32,9.92,18.22,,,,,,,,,,,,,
1.5.5,28.37,28.31,11.44,13.43,18.45,,,,,,,,,,,,,
1.5.10,38.25,17.32,12.68,11.10,20.65,,,,,,,,,,,,,
1.5.15,35.53,21.60,12.31,14.63,15.93,,,,,,,,,,,,,
1.10.1,9.28,13.83,5.52,6.15,8.05,14.22,9.02,11.60,11.35,10.98,,,,,,,,
1.10.3,17.08,11.49,5.34,4.68,8.60,12.76,13.40,7.47,6.58,12.61,,,,,,,,
1.10.5,13.45,13.42,5.42,6.37,8.74,12.80,12.66,7.58,6.70,12.86,,,,,,,,
1.10.10,19.78,8.96,6.56,5.74,10.68,10.56,8.85,9.19,8.07,11.60,,,,,,,,
1.10.15,16.16,9.83,5.60,6.66,7.24,13.20,13.06,7.78,8.71,11.76,,,,,,,,
1.15.1,5.33,7.94,3.17,3.53,4.62,8.17,5.18,6.66,6.52,6.31,6.13,9.97,11.23,9.80,5.45,,,
1.15.3,10.95,7.36,3.42,3.00,5.51,8.18,8.59,4.79,4.21,8.08,7.76,6.92,6.69,7.46,7.09,,,
1.15.5,8.70,8.68,3.51,4.12,5.65,8.28,8.19,4.90,4.33,8.32,6.61,7.10,6.78,7.66,7.18,,,
1.15.10,13.29,6.02,4.41,3.86,7.18,7.09,5.95,6.17,5.42,7.79,4.75,7.43,10.85,5.48,4.31,,,
