Locations,Latitude,Longitude
"London, UK",51.5072178,-0.1275862
"Manchester, UK",53.4807593,-2.2426305
"Liverpool, UK",53.4083714,-2.9915726
"Birmingham, UK",52.48624299999999,-1.890401
"Edinburgh, UK",55.953252,-3.188267
"Glasgow, UK",55.86167039999999,-4.2583345
"Bristol, UK",51.454513,-2.58791
"Northampton, UK",52.23706499999999,-0.8944420999999999
"Nottingham, UK",52.9540223,-1.1549892
"Sheffield, UK",53.38112899999999,-1.470085
"Noewich, UK",52.6292567,1.2978802
"Oxford, UK",51.7520209,-1.2577263
"Cambridge, UK",52.1950788,0.1312729
"Exeter, UK",50.72603669999999,-3.5274889
"Derby, UK",52.9225301,-1.4746186
"Lincoln, UK",52.9451889,-0.1601246
"Brighton, UK",50.8229402,-0.1362672
"Reading, UK",51.45512009999999,-0.9787475
