ID,Buckingham Palace London,Kensington Palace London,St. Paul's Cathedral London,University of London,Westminster Abbey London,The British Museum,Tower Bridge London,Farringdon Station London,Victoria Station London,Piccadilly Circus Station London,Paddington Station London,Hyde Park London,London Bridge,Euston Station London,Waterloo Station London,London eye
1.2.1,40.82,59.18,,,,,,,,,,,,,,
1.2.3,66.27,33.73,,,,,,,,,,,,,,
1.2.5,54.37,45.63,,,,,,,,,,,,,,
1.2.10,65.08,34.92,,,,,,,,,,,,,,
1.2.15,63.33,36.67,,,,,,,,,,,,,,
1.5.1,14.47,35.46,15.42,14.19,20.46,,,,,,,,,,,
1.5.3,18.35,31.81,23.86,14.31,11.67,,,,,,,,,,,
1.5.5,27.14,17.46,26.53,15.31,13.57,,,,,,,,,,,
1.5.10,15.01,27.11,28.01,12.36,17.51,,,,,,,,,,,
1.5.15,27.91,13.27,20.75,4.35,33.72,,,,,,,,,,,
1.10.1,4.58,11.60,7.73,36.89,7.25,4.83,6.30,8.59,3.95,8.28,,,,,,
1.10.3,4.04,40.58,7.80,5.49,8.59,7.63,5.20,8.81,6.24,5.61,,,,,,
1.10.5,12.31,19.69,8.20,5.57,10.94,5.91,6.15,8.20,8.95,14.07,,,,,,
1.10.10,5.73,13.18,8.78,41.92,8.24,5.38,4.62,3.76,5.99,2.40,,,,,,
1.10.15,12.67,18.58,12.39,2.86,11.61,11.61,12.39,6.64,4.76,6.48,,,,,,
1.15.1,4.74,20.55,2.58,2.78,4.35,4.35,4.64,3.16,2.40,34.77,3.02,2.13,3.73,3.86,2.95,
1.15.3,5.51,12.54,8.64,3.93,4.98,8.10,5.29,5.89,3.09,9.26,5.63,12.46,5.18,5.18,4.32,
1.15.5,6.47,13.38,8.92,5.35,8.36,3.79,8.92,4.78,2.48,5.95,5.82,6.69,7.17,4.67,7.27,
1.15.10,7.32,10.73,4.71,3.50,6.71,6.71,7.16,7.95,2.44,3.66,2.88,12.20,5.75,14.31,3.98,
1.15.15,9.01,4.96,7.78,5.29,4.05,5.36,8.81,7.18,6.01,9.44,4.05,4.26,7.34,7.34,9.12,
2.15.1,5.93,,5.76,5.88,9.10,3.55,4.77,4.01,4.53,7.68,6.91,5.88,5.24,4.94,15.03,10.80
2.15.3,7.71,,6.71,5.71,5.90,3.27,11.53,5.71,4.50,3.80,8.57,7.30,5.62,6.92,12.16,4.57
2.15.5,7.58,,8.23,1.27,8.19,4.53,6.55,7.22,9.82,9.82,9.31,4.74,9.56,3.63,6.55,3.00
2.15.10,7.21,,5.80,5.26,7.01,3.91,10.79,8.02,9.35,5.18,5.80,3.51,5.80,6.01,11.37,4.95
2.15.15,7.21,,5.92,5.96,5.67,4.44,11.09,5.41,8.24,4.90,9.10,7.01,9.35,6.18,4.44,5.09
3.15.1,4.05,2.75,3.35,7.62,7.98,3.90,5.98,7.29,8.17,8.38,,6.13,10.22,4.19,7.10,12.89
3.15.3,5.79,2.57,9.20,5.21,10.29,3.33,6.75,9.40,6.65,7.33,,7.91,8.16,4.05,10.19,3.18
3.15.5,7.12,2.89,6.86,8.42,4.63,3.78,10.06,4.69,9.26,7.26,,6.77,11.29,6.04,6.07,4.87
3.15.10,4.81,3.02,7.07,5.42,5.71,4.85,12.13,9.07,5.88,5.79,,7.63,5.03,6.80,12.72,4.06
3.15.15,7.16,5.03,7.92,5.73,8.86,4.33,4.33,8.09,4.43,5.56,,6.01,11.35,6.07,11.35,3.77
4.10.1,6.39,8.55,,,15.63,,13.60,11.93,,10.46,4.36,,12.59,11.33,,5.15
4.10.3,10.15,6.22,,,10.52,,12.31,10.33,,9.04,3.44,,16.53,9.41,,12.05
4.10.5,9.13,5.01,,,17.24,,6.56,11.64,,11.08,4.31,,12.93,12.41,,9.70
4.10.10,15.22,5.40,,,18.61,,8.10,7.61,,14.78,4.65,,14.35,5.40,,5.88
4.10.15,6.06,4.32,,,7.81,,16.46,11.71,,17.91,5.64,,16.46,10.15,,3.50
4.15.1,6.31,3.59,5.97,6.93,7.46,2.15,10.48,7.76,6.69,11.41,2.59,,6.26,6.46,11.08,4.88
4.15.3,4.71,3.87,6.00,2.79,5.81,5.00,6.93,9.01,7.06,7.21,3.34,,6.67,4.07,20.02,7.51
4.15.5,8.70,3.74,8.49,9.16,4.70,2.07,9.41,8.70,10.24,5.80,3.22,,9.94,5.80,5.80,4.22
4.15.10,6.88,5.22,9.51,2.05,8.37,4.37,9.70,10.32,9.16,7.83,4.49,,7.83,5.78,5.71,2.79
4.15.15,7.36,1.71,9.15,8.34,13.90,3.38,3.15,6.95,6.47,11.04,3.47,,10.72,5.00,5.44,3.91
5.15.1,6.98,4.39,7.05,2.08,4.01,2.53,5.13,3.88,6.98,2.84,2.24,16.29,1.86,31.73,,2.01
5.15.3,9.08,12.20,4.54,2.70,5.60,1.20,6.88,10.09,1.30,9.46,2.91,21.18,7.09,2.85,,2.91
5.15.5,10.99,13.08,11.10,2.04,2.44,3.46,8.33,5.18,10.99,11.45,2.54,7.48,5.49,2.48,,2.95
5.15.10,8.35,10.74,9.11,2.68,3.01,1.03,23.13,10.02,2.03,5.18,8.35,3.76,5.01,5.01,,2.59
5.15.15,2.35,19.63,3.77,1.37,5.49,8.24,6.01,4.94,8.90,3.30,2.28,20.77,5.43,4.94,,2.56
3.10.1,,7.51,12.15,9.68,13.60,5.29,,,,14.28,,10.45,11.70,,7.82,7.51
3.10.3,,5.26,8.83,10.17,14.29,6.98,,,,11.77,,9.00,18.30,,7.50,7.90
3.10.5,,7.16,11.27,12.04,9.46,6.16,,,,13.24,,6.51,11.04,,16.15,6.97
3.10.10,,7.37,17.28,13.74,8.40,4.51,,,,1.69,,7.09,8.64,,26.06,5.21
3.10.15,,7.70,7.31,12.95,7.50,6.63,,,,14.25,,10.42,8.51,,17.37,7.37
5.2.1,,33.78,,,,,,,,,,66.22,,,,
5.2.3,,57.14,,,,,,,,,,42.86,,,,
5.2.5,,64.59,,,,,,,,,,35.41,,,,
5.2.10,,60.00,,,,,,,,,,40.00,,,,
5.2.15,,42.61,,,,,,,,,,57.39,,,,
5.5.1,,30.85,,7.31,,,18.65,,,,16.02,27.17,,,,
5.5.3,,25.52,,2.59,,,11.16,,,,10.72,50.01,,,,
5.5.5,,26.21,,2.55,,,12.80,,,,7.06,51.38,,,,
5.5.10,,28.34,,4.95,,,9.45,,,,18.47,38.79,,,,
5.5.15,,25.02,,4.07,,,9.91,,,,11.94,49.05,,,,
5.10.1,,17.77,,4.44,9.21,5.18,11.31,,3.46,,4.78,34.83,,5.65,,3.36
5.10.3,,21.35,,5.34,3.74,7.29,13.59,,17.94,,11.72,8.79,,6.50,,3.74
5.10.5,,23.69,,2.59,6.77,8.15,7.42,,4.61,,28.42,4.95,,6.63,,6.77
5.10.10,,17.89,,2.36,9.28,13.91,11.38,,15.03,,4.82,14.31,,8.35,,2.66
5.10.15,,14.35,,2.00,7.86,10.28,9.65,,12.74,,4.08,29.73,,4.16,,5.14
3.2.1,,,57.66,,,,,,,,,,,,,42.34
3.2.3,,,53.77,,,,,,,,,,,,,46.23
3.2.5,,,58.00,,,,,,,,,,,,,42.00
3.2.10,,,54.83,,,,,,,,,,,,,45.17
3.2.15,,,66.67,,,,,,,,,,,,,33.33
3.5.1,,,17.39,24.50,25.66,,,,,,,,18.27,,,14.18
3.5.3,,,17.88,9.75,15.98,,,,,,,,45.80,,,10.58
3.5.5,,,20.40,9.78,22.83,,,,,,,,29.23,,,17.76
3.5.10,,,12.26,23.13,24.23,,,,,,,,26.50,,,13.88
3.5.15,,,23.70,14.85,26.53,,,,,,,,20.26,,,14.66
2.2.1,,,,60.78,,,39.22,,,,,,,,,
2.2.3,,,,31.16,,,68.84,,,,,,,,,
2.2.5,,,,48.89,,,51.11,,,,,,,,,
2.2.10,,,,34.59,,,65.41,,,,,,,,,
2.2.15,,,,30.23,,,69.77,,,,,,,,,
2.5.1,,,,30.09,,,21.49,,,,12.80,,,15.56,20.06,
2.5.3,,,,12.92,,,30.22,,,,24.81,,,11.99,20.06,
2.5.5,,,,16.54,,,10.88,,,,18.25,,,12.41,41.92,
2.5.10,,,,22.66,,,20.23,,,,23.85,,,16.48,16.78,
2.5.15,,,,12.00,,,23.25,,,,25.65,,,14.31,24.80,
2.10.1,,,,9.71,16.92,3.78,8.72,6.20,8.57,,12.86,,6.68,9.19,17.38,
