ID,Buckingham Palace London,Kensington Palace London,St. Paul's Cathedral London,University of London,Westminster Abbey London,The British Museum,Tower Bridge London,Farringdon Station London,Victoria Station London,Piccadilly Circus Station London,Paddington Station London,Hyde Park London,London Bridge,Euston Station London,Waterloo Station London,London eye
1.2.1,45.71,54.29,,,,,,,,,,,,,,
1.2.3,59.70,40.30,,,,,,,,,,,,,,
1.2.5,38.71,61.29,,,,,,,,,,,,,,
1.2.10,78.85,21.15,,,,,,,,,,,,,,
1.2.15,32.22,67.78,,,,,,,,,,,,,,
1.5.1,23.45,27.85,20.73,7.25,20.73,,,,,,,,,,,
1.5.3,29.46,19.89,21.16,6.37,23.12,,,,,,,,,,,
1.5.5,13.47,21.33,18.58,6.19,40.42,,,,,,,,,,,
1.5.10,31.98,8.58,22.11,7.37,29.95,,,,,,,,,,,
1.5.15,16.66,35.04,15.40,5.13,27.77,,,,,,,,,,,
1.10.1,13.98,16.60,12.35,4.32,12.35,9.57,8.05,12.65,5.06,5.06,,,,,,
1.10.3,17.08,11.53,12.27,3.70,13.41,13.41,8.74,7.39,4.47,8.01,,,,,,
1.10.5,8.84,14.00,12.19,4.06,26.52,8.69,8.69,8.00,4.50,4.50,,,,,,
1.10.10,19.71,5.29,13.63,4.54,18.46,9.69,9.69,8.95,5.01,5.01,,,,,,
1.10.15,11.63,24.46,10.75,3.58,19.38,7.63,7.63,7.06,3.94,3.94,,,,,,
1.15.1,9.41,11.18,8.32,2.91,8.32,6.45,5.42,8.52,3.41,3.41,8.13,5.96,7.45,2.98,8.13,
1.15.3,10.86,7.33,7.80,2.35,8.53,8.53,5.56,4.70,2.84,5.09,5.91,8.43,7.64,3.06,11.37,
1.15.5,5.28,8.36,7.28,2.43,15.83,5.19,5.19,4.78,2.69,2.69,7.16,10.20,7.28,2.47,13.20,
1.15.10,11.24,3.01,7.77,2.59,10.53,5.53,5.53,5.10,2.86,2.86,7.65,10.87,7.77,2.63,14.05,
1.15.15,7.47,15.72,6.91,2.30,12.46,4.90,4.90,4.54,2.53,2.53,6.80,7.24,6.91,2.34,12.46,
2.15.1,3.11,,22.14,0.00,2.46,9.32,21.25,2.57,3.69,3.69,0.00,3.94,2.04,5.13,15.89,4.79
2.15.3,4.37,,8.46,0.00,4.84,0.00,37.91,3.56,0.00,0.00,0.00,6.77,9.34,0.00,19.34,5.42
2.15.5,7.38,,3.79,0.00,7.80,3.69,45.49,3.25,3.90,3.79,0.00,3.50,4.26,0.00,7.80,5.35
2.15.10,6.96,,5.22,4.57,9.84,3.41,17.06,4.65,7.11,6.96,3.94,8.05,5.69,3.63,8.89,4.00
2.15.15,7.34,,5.38,4.83,7.89,5.51,17.06,3.16,5.64,5.51,4.01,7.74,5.77,1.97,11.84,6.36
3.15.1,8.69,3.97,7.61,7.30,7.61,4.35,3.65,9.44,4.15,3.97,,9.13,6.30,4.80,10.53,8.49
